Price,Close,High,Low,Open,Volume,Signal
Ticker,^STI,^STI,^STI,^STI,^STI,
Date,,,,,,
2015-06-04,3345.0,3361.590087890625,3339.030029296875,3344.1298828125,316871100,0
2015-06-05,3333.669921875,3349.010009765625,3326.840087890625,3345.6298828125,238785300,0
2015-06-08,3320.330078125,3333.989990234375,3318.280029296875,3326.3701171875,173852900,0
2015-06-09,3295.1298828125,3330.320068359375,3295.1298828125,3316.9599609375,281943600,0
2015-06-10,3325.77001953125,3337.1298828125,3294.31005859375,3296.60009765625,219022200,0
2015-06-11,3347.669921875,3358.77001953125,3336.669921875,3338.300048828125,358061700,0
2015-06-12,3353.85009765625,3358.4599609375,3343.81005859375,3350.77001953125,306971100,0
2015-06-15,3323.1298828125,3343.840087890625,3309.489990234375,3338.10009765625,249030500,0
2015-06-16,3298.090087890625,3311.93994140625,3291.06005859375,3311.93994140625,202882300,0
2015-06-17,3325.909912109375,3346.02001953125,3311.800048828125,3315.219970703125,264453200,0
2015-06-18,3300.419921875,3326.050048828125,3299.2900390625,3324.159912109375,168344400,0
2015-06-19,3300.9599609375,3320.2099609375,3299.64990234375,3319.9599609375,205394600,0
2015-06-22,3315.1298828125,3330.590087890625,3311.1201171875,3313.06005859375,174052400,0
2015-06-23,3339.780029296875,3343.830078125,3323.260009765625,3328.389892578125,201304800,0
2015-06-24,3351.330078125,3361.0400390625,3338.739990234375,3348.010009765625,226753400,0
2015-06-25,3349.8701171875,3358.239990234375,3343.469970703125,3346.889892578125,184843100,0
2015-06-26,3320.89990234375,3353.590087890625,3320.06005859375,3346.300048828125,190576300,0
2015-06-29,3280.179931640625,3290.6298828125,3267.679931640625,3277.89990234375,215454000,0
2015-06-30,3317.330078125,3326.239990234375,3281.300048828125,3283.77001953125,270177600,0
2015-07-01,3331.139892578125,3342.0400390625,3311.030029296875,3317.469970703125,165755800,0
2015-07-02,3327.840087890625,3357.949951171875,3326.360107421875,3354.820068359375,173471100,0
2015-07-03,3342.72998046875,3348.300048828125,3328.989990234375,3331.030029296875,131999200,0
2015-07-06,3332.93994140625,3334.7900390625,3307.260009765625,3319.929931640625,174041600,0
2015-07-07,3340.929931640625,3346.47998046875,3327.699951171875,3342.199951171875,204421900,0
2015-07-08,3284.989990234375,3335.3701171875,3274.22998046875,3329.989990234375,349488100,0
2015-07-09,3267.39990234375,3289.280029296875,3249.889892578125,3261.169921875,257116900,0
2015-07-10,3279.8798828125,3291.409912109375,3272.590087890625,3275.0,185123300,0
2015-07-13,3311.219970703125,3316.3701171875,3290.110107421875,3298.280029296875,151685700,0
2015-07-14,3316.5,3330.22998046875,3309.280029296875,3321.590087890625,0,0
2015-07-15,3338.860107421875,3342.330078125,3322.1201171875,3323.280029296875,157448600,0
2015-07-16,3353.449951171875,3358.090087890625,3345.760009765625,3351.4599609375,195164700,0
2015-07-20,3373.47998046875,3376.22998046875,3361.320068359375,3370.0,224756100,0
2015-07-21,3371.409912109375,3383.56005859375,3366.2099609375,3382.9599609375,202014200,0
2015-07-22,3359.169921875,3377.64990234375,3352.56005859375,3369.159912109375,190123400,0
2015-07-23,3356.3701171875,3375.969970703125,3356.3701171875,3371.1201171875,333250900,0
2015-07-24,3352.64990234375,3366.52001953125,3346.860107421875,3360.860107421875,255771100,0
2015-07-27,3313.419921875,3348.830078125,3311.39990234375,3348.820068359375,233175200,0
2015-07-28,3281.090087890625,3306.6298828125,3277.1298828125,3305.260009765625,323690700,0
2015-07-29,3284.0,3299.9599609375,3275.320068359375,3286.75,209558300,0
2015-07-30,3249.52001953125,3284.2900390625,3248.35009765625,3282.199951171875,386411200,0
2015-07-31,3202.5,3217.860107421875,3184.570068359375,3214.639892578125,725642700,0
2015-08-03,3192.7900390625,3217.1298828125,3186.340087890625,3205.590087890625,376860600,0
2015-08-04,3191.0400390625,3193.5400390625,3175.070068359375,3192.330078125,518830800,0
2015-08-05,3191.389892578125,3198.320068359375,3164.6201171875,3179.169921875,431119400,0
2015-08-06,3196.659912109375,3196.659912109375,3180.8701171875,3194.389892578125,226060100,0
2015-08-11,3153.06005859375,3214.5,3148.340087890625,3213.489990234375,644175100,0
2015-08-12,3061.489990234375,3100.85009765625,3057.6201171875,3099.6298828125,503535200,0
2015-08-13,3091.780029296875,3103.489990234375,3063.60009765625,3068.909912109375,331804700,0
2015-08-14,3114.25,3118.52001953125,3092.580078125,3094.89990234375,228618200,0
2015-08-17,3067.35009765625,3116.360107421875,3067.35009765625,3114.56005859375,269270700,0
2015-08-18,3049.64990234375,3084.830078125,3049.64990234375,3076.860107421875,302232500,0
2015-08-19,3041.25,3063.239990234375,3039.139892578125,3056.169921875,364260000,0
2015-08-20,3009.780029296875,3027.35009765625,3000.929931640625,3023.469970703125,280388500,0
2015-08-21,2971.010009765625,2979.639892578125,2947.8701171875,2961.580078125,348683700,0
2015-08-24,2843.389892578125,2918.8701171875,2843.389892578125,2918.239990234375,424998800,0
2015-08-25,2886.2900390625,2926.760009765625,2808.31005859375,2809.550048828125,594979100,1
2015-08-26,2873.0,2905.2900390625,2847.169921875,2859.659912109375,373092100,0
2015-08-27,2945.429931640625,2952.8701171875,2909.780029296875,2915.179931640625,439281700,-1
2015-08-28,2955.93994140625,2999.080078125,2947.3701171875,2984.550048828125,338757700,0
2015-08-31,2921.43994140625,2987.179931640625,2921.43994140625,2987.179931640625,335994700,0
2015-09-01,2882.77001953125,2930.18994140625,2878.110107421875,2915.530029296875,270394000,0
2015-09-02,2878.1298828125,2906.669921875,2877.489990234375,2897.760009765625,252188900,0
2015-09-03,2906.429931640625,2908.580078125,2878.469970703125,2878.93994140625,130165600,0
2015-09-04,2863.81005859375,2893.1201171875,2859.320068359375,2888.889892578125,248801500,0
2015-09-07,2852.409912109375,2865.530029296875,2832.64990234375,2842.280029296875,188827500,1
2015-09-08,2885.320068359375,2892.179931640625,2829.199951171875,2859.93994140625,254863800,0
2015-09-09,2928.179931640625,2931.64990234375,2890.840087890625,2901.070068359375,278849300,-1
2015-09-10,2888.030029296875,2898.14990234375,2868.14990234375,2885.800048828125,194180600,0
2015-09-14,2871.469970703125,2889.10009765625,2871.199951171875,2887.409912109375,223378900,0
2015-09-15,2841.93994140625,2857.139892578125,2837.590087890625,2854.719970703125,434647900,1
2015-09-16,2868.739990234375,2886.85009765625,2855.780029296875,2862.06005859375,309553700,0
2015-09-17,2895.81005859375,2903.580078125,2877.22998046875,2877.590087890625,286434400,0
2015-09-18,2879.590087890625,2919.77001953125,2879.590087890625,2893.2099609375,487388400,-1
2015-09-21,2882.27001953125,2886.389892578125,2854.669921875,2855.0400390625,0,1
2015-09-22,2868.469970703125,2904.97998046875,2862.719970703125,2890.110107421875,0,-1
2015-09-23,2845.739990234375,2860.10009765625,2827.18994140625,2859.580078125,0,1
2015-09-25,2832.639892578125,2841.889892578125,2816.760009765625,2829.679931640625,0,0
2015-09-28,2791.919921875,2829.639892578125,2780.739990234375,2823.090087890625,0,0
2015-09-29,2787.93994140625,2790.60009765625,2740.360107421875,2762.639892578125,0,0
2015-09-30,2790.889892578125,2799.800048828125,2772.260009765625,2778.590087890625,0,0
2015-10-01,2801.85009765625,2820.35009765625,2792.840087890625,2795.39990234375,0,0
2015-10-02,2793.14990234375,2797.31005859375,2765.43994140625,2796.360107421875,0,0
2015-10-05,2851.25,2851.25,2822.280029296875,2826.070068359375,0,0
2015-10-06,2897.409912109375,2899.06005859375,2876.1201171875,2882.5,0,-1
2015-10-07,2961.81005859375,2968.06005859375,2882.85009765625,2897.06005859375,0,0
