Price,Close,High,Low,Open,Volume
Ticker,^STI,^STI,^STI,^STI,^STI
Date,,,,,
2010-01-04,2894.550048828125,2897.6201171875,2886.429931640625,2897.6201171875,0
2010-01-05,2920.280029296875,2923.909912109375,2894.550048828125,2894.550048828125,0
2010-01-06,2930.489990234375,2937.97998046875,2919.739990234375,2920.280029296875,0
2010-01-07,2913.25,2945.06005859375,2901.239990234375,2930.489990234375,0
2010-01-08,2922.760009765625,2932.719970703125,2909.409912109375,2913.25,0
2010-01-11,2933.530029296875,2947.080078125,2922.760009765625,2922.760009765625,0
2010-01-12,2916.110107421875,2943.06005859375,2915.7900390625,2933.530029296875,0
2010-01-13,2888.3798828125,2916.110107421875,2883.760009765625,2916.110107421875,0
2010-01-14,2909.52001953125,2925.330078125,2888.3798828125,2888.3798828125,0
2010-01-15,2908.419921875,2921.419921875,2906.2900390625,2909.52001953125,0
2010-01-18,2912.02001953125,2918.989990234375,2897.489990234375,2908.419921875,0
2010-01-19,2912.919921875,2926.27001953125,2906.139892578125,2912.02001953125,0
2010-01-20,2893.1298828125,2935.840087890625,2893.1298828125,2912.919921875,0
2010-01-21,2850.97998046875,2893.1298828125,2850.97998046875,2893.1298828125,0
2010-01-22,2819.7099609375,2850.97998046875,2791.570068359375,2850.97998046875,0
2010-01-25,2811.7099609375,2819.7099609375,2789.06005859375,2819.7099609375,0
2010-01-26,2740.330078125,2822.090087890625,2740.330078125,2811.7099609375,0
2010-01-27,2706.260009765625,2763.3798828125,2706.260009765625,2740.330078125,0
2010-01-28,2757.679931640625,2763.360107421875,2706.260009765625,2706.260009765625,0
2010-01-29,2745.35009765625,2757.679931640625,2719.47998046875,2757.679931640625,0
2010-02-01,2736.169921875,2745.5400390625,2724.0400390625,2745.35009765625,0
2010-02-02,2720.8701171875,2767.429931640625,2720.8701171875,2736.169921875,0
2010-02-03,2764.840087890625,2772.300048828125,2720.8701171875,2720.8701171875,0
2010-02-04,2744.97998046875,2765.77001953125,2741.7099609375,2764.840087890625,0
2010-02-05,2683.56005859375,2744.97998046875,2680.139892578125,2744.97998046875,0
2010-02-08,2693.6201171875,2700.85009765625,2665.969970703125,2683.56005859375,0
2010-02-09,2745.02001953125,2745.02001953125,2675.2900390625,2693.6201171875,0
2010-02-10,2734.389892578125,2755.739990234375,2728.389892578125,2745.02001953125,0
2010-02-11,2753.6298828125,2754.300048828125,2734.389892578125,2734.389892578125,0
2010-02-12,2758.89990234375,2766.419921875,2745.010009765625,2753.6298828125,0
2010-02-17,2794.06005859375,2797.0,2758.89990234375,2758.89990234375,0
2010-02-18,2769.18994140625,2794.06005859375,2759.070068359375,2794.06005859375,0
2010-02-19,2757.139892578125,2772.030029296875,2727.7900390625,2769.18994140625,0
2010-02-22,2757.4599609375,2775.7099609375,2757.139892578125,2757.139892578125,0
2010-02-23,2782.550048828125,2782.550048828125,2737.639892578125,2757.4599609375,0
2010-02-24,2762.139892578125,2782.550048828125,2748.22998046875,2782.550048828125,0
2010-02-25,2749.14990234375,2774.090087890625,2743.030029296875,2762.139892578125,0
2010-02-26,2750.860107421875,2756.7099609375,2738.7099609375,2749.14990234375,0
2010-03-01,2774.06005859375,2780.8701171875,2749.739990234375,2750.860107421875,0
2010-03-02,2772.199951171875,2787.889892578125,2771.699951171875,2774.06005859375,0
2010-03-03,2782.7900390625,2786.5,2767.639892578125,2772.199951171875,0
2010-03-04,2768.699951171875,2792.639892578125,2761.469970703125,2782.7900390625,0
2010-03-05,2790.2900390625,2791.260009765625,2768.699951171875,2768.699951171875,0
2010-03-08,2834.570068359375,2837.43994140625,2790.2900390625,2790.2900390625,0
2010-03-09,2839.5400390625,2843.239990234375,2831.389892578125,2834.570068359375,0
2010-03-10,2862.2900390625,2862.2900390625,2839.5400390625,2839.5400390625,0
2010-03-11,2873.909912109375,2875.2099609375,2854.590087890625,2862.2900390625,0
2010-03-12,2881.360107421875,2885.889892578125,2870.52001953125,2873.909912109375,0
2010-03-15,2874.330078125,2898.280029296875,2872.320068359375,2881.360107421875,0
2010-03-16,2896.429931640625,2896.429931640625,2874.330078125,2874.330078125,0
2010-03-17,2919.300048828125,2922.469970703125,2896.429931640625,2896.429931640625,0
2010-03-18,2913.93994140625,2925.409912109375,2907.0400390625,2919.300048828125,0
2010-03-19,2915.699951171875,2932.18994140625,2913.93994140625,2913.93994140625,0
2010-03-22,2889.179931640625,2915.699951171875,2889.179931640625,2915.699951171875,0
2010-03-23,2905.659912109375,2911.419921875,2889.179931640625,2889.179931640625,0
2010-03-24,2886.360107421875,2917.929931640625,2886.360107421875,2905.659912109375,0
2010-03-25,2888.3701171875,2897.47998046875,2878.679931640625,2886.360107421875,0
2010-03-26,2906.280029296875,2907.89990234375,2884.239990234375,2888.3701171875,0
2010-03-29,2929.139892578125,2929.139892578125,2906.280029296875,2906.280029296875,0
2010-03-30,2933.389892578125,2937.800048828125,2926.199951171875,2929.139892578125,0
2010-03-31,2887.4599609375,2933.389892578125,2887.4599609375,2933.389892578125,0
2010-04-01,2943.02001953125,2946.280029296875,2887.4599609375,2887.4599609375,0
2010-04-05,2968.3798828125,2968.3798828125,2943.02001953125,2943.02001953125,0
2010-04-06,2975.510009765625,2979.3798828125,2963.550048828125,2968.3798828125,0
2010-04-07,2988.10009765625,2996.27001953125,2975.510009765625,2975.510009765625,0
2010-04-08,2963.18994140625,2988.10009765625,2954.06005859375,2988.10009765625,0
2010-04-09,2971.969970703125,2974.02001953125,2961.93994140625,2963.18994140625,0
2010-04-12,2977.169921875,2986.489990234375,2964.0,2971.969970703125,0
2010-04-13,2971.60009765625,2977.169921875,2953.81005859375,2977.169921875,0
2010-04-14,3019.739990234375,3022.639892578125,2971.60009765625,2971.60009765625,0
2010-04-15,3016.93994140625,3037.969970703125,3016.070068359375,3019.739990234375,0
2010-04-16,3007.18994140625,3022.77001953125,2997.7099609375,3016.93994140625,0
2010-04-19,2960.929931640625,3007.18994140625,2943.5,3007.18994140625,0
2010-04-20,2981.3701171875,2983.199951171875,2960.929931640625,2960.929931640625,0
2010-04-21,2967.64990234375,2996.419921875,2967.64990234375,2981.3701171875,0
2010-04-22,2980.68994140625,2983.780029296875,2951.1298828125,2967.64990234375,0
2010-04-23,2988.489990234375,2988.489990234375,2968.469970703125,2980.68994140625,0
2010-04-26,3002.6201171875,3007.199951171875,2988.489990234375,2988.489990234375,0
2010-04-27,2991.679931640625,3002.6201171875,2979.6201171875,3002.6201171875,0
2010-04-28,2932.0400390625,2991.679931640625,2932.0400390625,2991.679931640625,0
2010-04-29,2959.010009765625,2967.340087890625,2932.0400390625,2932.0400390625,0
2010-04-30,2974.610107421875,2984.429931640625,2959.010009765625,2959.010009765625,0
2010-05-03,2944.219970703125,2974.610107421875,2942.27001953125,2974.610107421875,0
2010-05-04,2901.179931640625,2959.699951171875,2901.179931640625,2944.219970703125,0
2010-05-05,2860.31005859375,2901.179931640625,2856.39990234375,2901.179931640625,0
2010-05-06,2839.64990234375,2860.31005859375,2812.64990234375,2860.31005859375,0
2010-05-07,2821.110107421875,2839.64990234375,2775.199951171875,2839.64990234375,0
2010-05-10,2880.47998046875,2888.2099609375,2819.610107421875,2821.110107421875,0
2010-05-11,2857.669921875,2899.18994140625,2847.070068359375,2880.47998046875,0
2010-05-12,2880.330078125,2882.739990234375,2848.1298828125,2857.669921875,0
2010-05-13,2867.919921875,2897.68994140625,2865.89990234375,2880.330078125,0
2010-05-14,2855.2099609375,2876.070068359375,2850.31005859375,2867.919921875,0
2010-05-17,2833.68994140625,2855.2099609375,2812.75,2855.2099609375,0
